Genus,Species,Subspecies,Sex,Sex_age,Vertebral formula,Presacral No.,Analyse,Running_Speed,Length_Limbs,Species_name
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 4S 9+Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,3S,NA,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 1L/S 3S 7+Cg,26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 3S 9Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 1T/L 3L 3S 13Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 19T+L 3S 7+Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 3L 1L/S 3S 11Cg,26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16.5T 1T/L 2L 3S 5+Cg ,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 3L 1l/S 3S 12Cg,26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 1T/L 2L 4S 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,F,F,7C 15T 4L 3S 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 16T 1T/L 2L 3S,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 17T 2L 3S 12CG,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a,,"7C 15T 4L 1L/S 2S probably first rib sternal parts lacking, otherwise first ribs rudimentary",26.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,,,7C 16T 4L 3S 13Cg (or 15T 1T/L),27,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,,,7C 15T 1T/L 3L 3S 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,F,F,7C 16T 3L 3S 1S/Cg 12Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,M,M,7C 15T 3L 1L/S 3S 12Cg,25.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 1T/L 2L 1L/S,25.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 3L 1l/S 4S 1S/Cg  11Cg,25.5,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 4L 3S 11Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,n.a.,n.a.,7C 15T 4L 4S 11Cg,26,yes,slow,short,Tachyglossus_aculeatus
Tachyglossus,aculeatus,n.a.,F,F,7C 16T 3L 1L/S 3S 12Cg,27.5,yes,slow,short,Tachyglossus_aculeatus
Zaglossus,bruijni,n.a.,n.a.,ad,7C 17T 4L 2+1S 16+Cg,28,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,n.a.,7C 15T 1L/S 4L 3S 7+Cg or 15T 5L 3S 4+Cg,27,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,M ad,7C 16T 1L/S 4L 3S 3+Cg,26,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,n.a.,n.a.,n.a.,7C 16T 4L 3S ,27,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,goodfellow,F ,F ,7C 16T 4L 1L/S 3S 1S/Cg 10Cg,27.5,yes,slow,short,Zaglossus_bruijni
Zaglossus,bruijni,goodfellow,M,M ad,7C 16T 1T/L 3L 1L/S 3S 10Cg,27.5,yes,slow,short,Zaglossus_bruijni
Zaglossus,bartoni,n.a.,n.a.,juv,7C 16T 4L 3S 1S/Cg 7+Cg,27,yes,slow,short,Zaglossus_bartoni
Zaglossus,bartoni,n.a.,n.a.,n.a.,7C 17T ,NA,yes,slow,short,Zaglossus_bartoni
